timestamp,vehicle_id,circuit,sector,lap,lap_time_s,last_lap_time_s,speed_kmh,rpm,gear,tps_percent,brake_bar,g_lat,g_long,oil_pressure_bar,oil_temp_c,coolant_temp_c,latitude,longitude,altitude_m
2026-09-13T22:27:43.016234+00:00,veiculo_simulado_01,Autodromo_Jose_Carlos_Pace_Interlagos,Reta dos Boxes,2,0.0,107.7,205.2,8960,6,100.0,0.0,0.06,0.5,4.48,100.1,88.5,-23.701118,-46.697206,760.1
2026-09-13T22:27:43.016234+00:00,veiculo_simulado_01,Autodromo_Jose_Carlos_Pace_Interlagos,Reta dos Boxes,2,0.1,107.7,207.0,9075,6,100.0,0.0,-0.0,0.53,4.52,100.1,88.5,-23.701149,-46.697157,760.4
2026-09-13T22:27:43.016234+00:00,veiculo_simulado_01,Autodromo_Jose_Carlos_Pace_Interlagos,Reta dos Boxes,2,0.2,107.7,208.8,9121,6,100.0,0.0,-0.01,0.51,4.57,100.1,88.5,-23.701176,-46.697155,760.7
2026-09-13T22:27:43.016234+00:00,veiculo_simulado_01,Autodromo_Jose_Carlos_Pace_Interlagos,Reta dos Boxes,2,0.3,107.7,210.6,9173,6,100.0,0.0,-0.01,0.52,4.53,100.2,88.6,-23.701228,-46.697125,761.0
2026-09-13T22:27:43.016234+00:00,veiculo_simulado_01,Autodromo_Jose_Carlos_Pace_Interlagos,Reta dos Boxes,2,0.4,107.7,212.4,9302,6,100.0,0.0,0.04,0.53,4.62,100.2,88.6,-23.701254,-46.6971,761.3
2026-09-13T22:27:43.016234+00:00,veiculo_simulado_01,Autodromo_Jose_Carlos_Pace_Interlagos,Reta dos Boxes,2,0.5,107.7,214.2,9370,6,100.0,0.0,0.03,0.53,4.55,100.2,88.6,-23.701283,-46.697097,761.6
2026-09-13T22:27:43.016234+00:00,veiculo_simulado_01,Autodromo_Jose_Carlos_Pace_Interlagos,Reta dos Boxes,2,0.6,107.7,216.0,9388,6,100.0,0.0,0.01,0.52,4.61,100.2,88.6,-23.701325,-46.697093,761.9
2026-09-13T22:27:43.016234+00:00,veiculo_simulado_01,Autodromo_Jose_Carlos_Pace_Interlagos,Reta dos Boxes,2,0.7,107.7,217.8,9571,6,97.9,0.0,-0.06,0.52,4.62,100.3,88.6,-23.701375,-46.697063,762.2
2026-09-13T22:27:43.016234+00:00,veiculo_simulado_01,Autodromo_Jose_Carlos_Pace_Interlagos,Reta dos Boxes,2,0.8,107.7,219.5,9639,6,94.4,0.0,0.03,0.47,4.67,100.3,88.6,-23.701419,-46.697032,762.6
2026-09-13T22:27:43.016234+00:00,veiculo_simulado_01,Autodromo_Jose_Carlos_Pace_Interlagos,Reta dos Boxes,2,0.9,107.7,221.1,9708,6,91.0,0.0,-0.07,0.46,4.64,100.3,88.6,-23.701424,-46.69702,762.9
